Label	logFC	FDR
 SLX4 	0.0618544	1.16E-01
 SMAD1 	0.0389694	3.63E-01
 SMAD2 	0.1445195	8.27E-02
 SMAD3 	0.2748366	4.48E-03
 SMAD4 	-0.0194651	7.88E-01
 SMAD5 	0.2860592	3.61E-06
 SMAD5OS 	-0.0271354	3.00E-02
 SMAD6 	0.0399719	2.47E-01
 SMAD7 	-0.0454221	2.71E-01
 SMAD9 	-0.1056292	8.88E-04
 SMAGP 	0.7349569	1.34E-04
 SMAP1 	0.0783841	4.22E-01
 SMAP2 	-0.170748	2.81E-01
 SMARCA1 	-0.1248398	4.33E-01
 SMARCA2 	-0.0377185	6.77E-01
 SMARCA4 	0.3447826	3.58E-06
 SMARCA5 	0.431441	1.70E-06
 SMARCAD1 	0.1934066	6.85E-04
 SMARCAL1 	0.2510588	5.21E-05
 SMARCB1 	0.3743786	2.09E-05
 SMARCC1 	0.4573672	1.96E-06
 SMARCC2 	0.2684865	4.18E-06
 SMARCD1 	0.3408011	1.06E-05
 SMARCD2 	0.0358269	6.17E-01
 SMARCD3 	-0.2675544	6.90E-03
 SMARCE1 	0.4451744	6.44E-04
 SMC1A 	0.5352993	5.12E-05
 SMC1B 	0.0002266	9.75E-01
 SMC2 	0.4313146	1.69E-06
 SMC3 	0.365381	9.87E-07
 SMC4 	0.6766604	1.10E-08
 SMC5 	0.2804228	9.06E-05
 SMC6 	0.4108304	2.35E-07
 SMCHD1 	0.4716836	4.86E-05
 SMCP 	-0.0035331	7.76E-01
 SMCR5 	-0.0074046	6.79E-01
 SMCR7 	-0.0909406	4.36E-02
 SMCR7L 	0.204659	8.80E-06
 SMCR8 	0.0868448	8.78E-02
 SMEK1 	0.1924707	4.83E-03
 SMEK2 	0.3139031	2.35E-05
 SMEK3P 	0.0333288	4.81E-01
 SMG1 	0.6519894	3.81E-09
 SMG5 	0.5292175	1.34E-07
 SMG6 	0.1084692	1.68E-02
 SMG7 	0.3306263	4.69E-07
 SMNDC1 	0.5501811	3.21E-10
 SMO 	-0.0554287	2.75E-01
 SMOC1 	-0.1659162	1.34E-03
 SMOC2 	0.4860932	8.67E-04
 SMOX 	0.0370873	7.41E-01
 SMPD1 	-0.2051892	1.92E-02
 SMPD2 	0.6458034	9.81E-07
 SMPD3 	-0.4275038	1.85E-03
 SMPD4 	0.277884	2.74E-05
 SMPDL3A 	0.0352633	8.33E-01
 SMPDL3B 	-0.0011085	9.95E-01
 SMPX 	0.1725065	3.48E-02
 SMR3A 	-0.041405	1.70E-01
 SMR3B 	-0.0043991	7.64E-01
 SMTN 	0.0923628	1.22E-01
 SMTNL2 	0.0226127	4.09E-01
 SMU1 	0.4368916	2.64E-04
 SMUG1 	0.0584992	4.02E-01
 SMURF1 	0.4450741	2.67E-05
 SMURF2 	0.1831757	7.71E-03
 SMYD1 	-0.0113642	2.35E-01
 SMYD2 	0.2935326	4.80E-03
 SMYD3 	0.2906108	1.57E-05
 SMYD4 	0.08281	1.79E-02
 SMYD5 	0.2838327	1.74E-07
 SNAI1 	0.1463585	6.36E-04
 SNAI2 	0.193311	5.08E-02
 SNAP23 	0.4224579	1.32E-04
 SNAP25 	-0.0211389	6.43E-01
 SNAP29 	0.1696791	3.76E-02
 SNAP47 	0.0851442	2.80E-02
 SNAP91 	-0.0282604	1.39E-01
 SNAPC1 	0.1991652	5.96E-06
 SNAPC2 	0.2131004	1.60E-04
 SNAPC3 	0.0985764	9.12E-02
 SNAPC4 	0.0573504	7.05E-03
 SNAPC5 	0.3071264	4.73E-05
 SNAPIN 	0.4707238	9.17E-07
 SNCA 	0.0830203	2.34E-02
 SNCAIP 	0.0475078	6.32E-02
 SNCB 	-0.110681	2.20E-03
 SNCG 	0.0099514	8.60E-01
 SND1 	0.275244	2.20E-03
 SNED1 	-0.0263903	3.41E-01
 SNF8 	0.3153712	8.71E-04
 SNHG11 	0.1224464	4.21E-03
 SNHG7 	0.0999508	1.49E-02
 SNIP1 	0.0362419	9.35E-02
 SNN 	0.2243805	2.42E-04
 SNORA44 	1.1102734	1.38E-08
 SNORD49A 	0.197323	2.02E-01
 SNRK 	0.0171371	8.38E-01
 SNRNP200 	0.647914	1.01E-08
 SNRNP25 	0.2003412	1.63E-02
 SNRNP27 	0.1220242	5.33E-02
 SNRNP35 	0.0202275	2.29E-01
 SNRNP40 	0.78609	1.20E-08
 SNRNP48 	0.3151436	1.10E-05
 SNRNP70 	0.0439268	4.61E-01
 SNRPA 	0.5671644	2.21E-08
 SNRPA1 	0.1368691	5.47E-02
 SNRPB 	1.249345	4.23E-10
 SNRPB2 	0.468164	8.19E-10
 SNRPC 	0.9395108	1.40E-07
 SNRPD1 	1.0326336	4.19E-11
 SNRPD2 	0.2632746	4.39E-06
 SNRPD3 	0.6052001	2.07E-07
 SNRPF 	0.4346715	7.45E-05
 SNRPN 	-0.3264424	1.77E-04
 SNTA1 	-0.2254441	6.85E-06
 SNTB1 	-0.6124697	4.26E-04
 SNTB2 	0.1329566	2.07E-04
 SNTG1 	-0.0078271	2.40E-01
 SNUPN 	0.3375015	3.78E-05
 SNW1 	0.5380155	1.05E-06
 SNX1 	0.1424065	4.79E-02
 SNX10 	0.4173416	1.38E-06
 SNX11 	0.0606389	4.67E-02
 SNX12 	0.2691052	4.12E-05
 SNX13 	0.2881484	5.72E-04
 SNX14 	0.2933554	2.25E-03
 SNX15 	0.2286006	1.47E-04
 SNX16 	0.264208	3.52E-04
 SNX17 	-0.1007123	5.44E-02
 SNX18 	-0.1517137	4.36E-04
 SNX19 	0.0059841	9.40E-01
 SNX2 	0.0868117	4.02E-01
 SNX20 	-0.0037929	7.89E-01
 SNX21 	0.0207452	5.40E-01
 SNX22 	-0.0801325	2.71E-03
 SNX24 	-0.005396	9.49E-01
 SNX25 	0.0416992	2.58E-01
 SNX27 	0.397271	2.63E-05
 SNX3 	0.4807674	3.30E-08
 SNX31 	-0.0187579	1.18E-02
 SNX32 	-0.0077805	3.46E-01
 SNX33 	0.1628675	4.07E-02
 SNX4 	0.2565886	5.36E-04
 SNX5 	0.5252198	1.21E-07
 SNX6 	0.2771859	6.41E-02
 SNX7 	0.3984608	3.59E-05
 SNX8 	0.4362211	3.97E-08
 SNX9 	0.2939228	6.04E-05
 SOAT1 	0.1415891	2.71E-01
 SOAT2 	0.0335168	6.19E-01
 SOBP 	-0.199272	7.66E-06
 SOCS1 	0.0731495	4.78E-01
 SOCS2 	-0.1328813	4.13E-03
 SOCS3 	0.186792	1.34E-01
 SOCS4 	0.2260039	3.20E-04
 SOCS5 	0.3775493	1.78E-08
 SOCS6 	0.280896	1.23E-03
 SOD1 	0.6921534	6.03E-04
 SOD2 	0.8340964	3.78E-06
 SOD3 	0.1230175	1.81E-01
 SOHLH2 	0.001369	9.29E-01
 SOLH 	0.1428051	1.37E-02
 SON 	0.1772645	3.10E-02
 SORBS1 	-0.1821886	5.36E-03
 SORBS2 	-0.2904493	1.62E-04
 SORBS3 	0.1141325	7.24E-03
 SORCS1 	-0.0157632	4.06E-01
 SORCS2 	-0.026489	1.13E-01
 SORCS3 	-0.0093098	1.41E-01
 SORD 	-0.0296229	8.03E-01
 SORL1 	0.4124518	1.81E-03
 SORT1 	0.4320178	1.29E-04
 SOS1 	0.1969838	9.44E-03
 SOS2 	0.0010419	9.90E-01
 SOST 	-0.0767407	2.59E-03
 SOSTDC1 	-1.068465	1.43E-05
 SOX1 	-0.0909375	5.03E-04
 SOX10 	-0.0433734	1.99E-02
 SOX11 	-0.0832814	1.55E-04
 SOX12 	-0.0768198	7.47E-02
 SOX13 	0.0724446	7.09E-02
 SOX14 	0.0562061	5.19E-01
 SOX15 	-0.0249308	2.68E-01
 SOX17 	-0.2150247	1.04E-06
 SOX18 	-0.0355721	4.80E-01
 SOX21 	-0.58881	5.33E-08
 SOX2OT 	-0.3200071	3.05E-03
 SOX3 	-0.1618703	5.50E-06
 SOX30 	0.0118635	5.94E-01
 SOX4 	0.2139794	1.62E-02
 SOX5 	-0.0337398	9.06E-03
 SOX6 	-0.0493825	2.80E-01
 SOX7 	-0.0892382	2.95E-02
 SOX8 	-0.0767149	1.30E-02
 SOX9 	0.3158585	3.16E-04
 SP1 	0.4339077	6.32E-08
 SP100 	0.2366521	5.56E-03
 SP110 	0.3195262	3.37E-03
 SP140 	-0.0056051	9.39E-01
 SP140L 	0.2665594	4.78E-04
 SP2 	0.0660544	1.99E-02
 SP3 	0.2966463	2.23E-05
 SP4 	0.0844798	1.43E-01
 SP5 	-0.1746735	1.87E-03
 SP6 	0.0459693	2.02E-01
 SP7 	-0.0329599	8.33E-02
 SP8 	0.0411367	2.95E-01
 SP9 	-0.0980686	1.49E-04
 SPA17 	0.1505262	6.72E-04
 SPACA1 	-0.0172193	9.39E-03
 SPACA3 	-0.0372143	1.90E-02
 SPACA4 	-0.0010559	9.51E-01
 SPACA5 	-0.0926144	7.82E-03
 SPAG1 	0.1051504	6.12E-04
 SPAG11B 	-0.0381863	1.19E-01
 SPAG16 	-0.0417648	1.14E-02
 SPAG17 	0.0014194	9.15E-01
 SPAG4 	-0.2034447	1.10E-02
 SPAG5 	0.693586	2.27E-07
 SPAG6 	-0.0068137	6.67E-01
 SPAG7 	-0.0346977	7.12E-01
 SPAG8 	-0.0181472	1.00E-01
 SPAG9 	0.4754278	1.01E-08
 SPAM1 	-0.0003554	9.58E-01
 SPANXB1 	-0.0090251	3.75E-01
 SPANXE 	-0.0095721	7.40E-01
 SPARC 	1.9477177	4.53E-13
 SPARCL1 	0.3479066	1.44E-01
 SPAST 	0.3388224	1.62E-07
 SPATA1 	-0.0162465	3.03E-02
 SPATA12 	-0.0001063	9.94E-01
 SPATA13 	0.2023448	2.06E-02
 SPATA16 	-0.0136833	5.79E-02
 SPATA17 	0.0492665	6.08E-04
 SPATA18 	-0.1157034	1.65E-03
 SPATA19 	-0.0273105	3.91E-02
 SPATA2 	0.2439662	1.64E-05
 SPATA20 	-0.3279526	2.10E-03
 SPATA21 	-0.0170054	1.79E-01
 SPATA22 	-0.0118883	6.40E-02
 SPATA24 	0.0038989	9.00E-01
 SPATA2L 	0.1171266	1.65E-03
 SPATA3 	-0.0424056	1.76E-05
 SPATA4 	-0.0056203	5.25E-01
 SPATA5 	0.1667576	1.59E-03
 SPATA5L1 	0.5536127	2.57E-06
 SPATA6 	-0.0678793	3.92E-01
 SPATA7 	0.0724085	1.57E-02
 SPATA8 	0.0109512	1.88E-01
 SPATA9 	-0.0046581	4.41E-01
 SPATC1 	-0.0598648	2.52E-03
 SPATS2 	-0.0375553	6.70E-01
 SPATS2L 	1.072386	6.57E-08
 SPC24 	0.0934144	1.36E-02
 SPC25 	0.7018873	1.52E-06
 SPCS1 	0.2946004	5.13E-02
 SPCS3 	-0.2239472	8.23E-02
 SPDEF 	-0.5957274	1.17E-04
 SPDYA 	-0.0056424	4.03E-01
 SPDYE1 	0.0007356	9.67E-01
 SPDYE3 	-0.0130412	4.48E-01
 SPECC1 	-0.1521353	2.44E-02
 SPECC1L 	0.1461622	7.88E-03
 SPEF1 	-0.0467648	3.12E-03
 SPEF2 	0.0064691	4.08E-01
 SPEG 	-0.027646	3.01E-01
 SPEM1 	-0.2965339	7.27E-08
 SPEN 	0.3706575	5.36E-08
 SPERT 	-0.0213175	3.73E-02
 SPG11 	0.1019948	1.45E-01
 SPG20 	-0.0429823	4.26E-01
 SPG21 	0.386169	3.87E-07
 SPG7 	0.0295718	3.96E-01
 SPHK1 	0.1963719	7.73E-04
 SPHK2 	0.0074744	8.74E-01
 SPI1 	0.1735926	2.76E-02
 SPIB 	0.12287	3.51E-01
 SPIC 	-0.0177008	7.36E-03
 SPICE1 	0.1475234	5.90E-04
 SPIN1 	0.3787811	1.95E-07
 SPIN2A 	-0.0106516	2.50E-01
 SPIN3 	0.0749075	6.14E-02
 SPINK1 	-1.0698807	9.47E-03
 SPINK14 	-0.0066991	4.75E-01
 SPINK4 	-0.2519497	6.18E-01
 SPINK5 	0.0897717	2.46E-02
 SPINK6 	-0.003821	7.08E-01
 SPINK7 	-0.0156022	1.19E-01
 SPINLW1 	0.0005802	9.54E-01
 SPINT1 	0.3087621	9.92E-03
 SPINT2 	0.632023	5.48E-05
 SPINT3 	-0.0199363	1.83E-01
 SPINT4 	-0.0000753	9.94E-01
 SPIRE1 	0.2333148	2.02E-02
 SPN 	-0.0257902	4.40E-01
 SPNS1 	0.2841473	9.09E-06
 SPNS3 	-0.034172	1.35E-01
 SPO11 	-0.0075587	1.58E-01
 SPOCD1 	0.0163311	5.19E-01
 SPOCK1 	0.1358473	1.51E-03
 SPOCK2 	0.0700202	5.08E-01
 SPOCK3 	-0.0166635	2.34E-02
 SPON1 	0.1526192	3.31E-01
 SPON2 	0.7587632	5.89E-09
 SPOP 	0.1030138	1.51E-01
 SPOPL 	0.2532081	4.30E-04
 SPP1 	1.6344538	9.76E-06
 SPP2 	-0.0098886	1.85E-01
 SPPL2A 	0.1407492	2.55E-01
 SPPL2B 	-0.0552355	5.61E-01
 SPPL3 	0.397383	1.16E-05
 SPR 	0.3670915	7.29E-04
 SPRED1 	0.4436352	3.30E-05
 SPRED2 	0.2635748	1.97E-03
 SPRNP1 	-0.0348695	3.54E-02
 SPRR1A 	0.1544304	1.56E-01
 SPRR1B 	0.0272012	4.60E-01
 SPRR2A 	0.1672632	2.88E-01
 SPRR2C 	-0.0215598	1.33E-01
 SPRR2D 	0.0823546	1.90E-01
 SPRR3 	0.0067572	7.56E-01
 SPRR4 	-0.0261621	3.21E-01
 SPRY1 	0.4814164	2.54E-05
 SPRY2 	0.7811971	1.58E-04
 SPRY4 	0.479267	3.13E-07
 SPRYD3 	-0.1139178	1.44E-01
 SPRYD4 	0.0752598	3.80E-01
 SPSB1 	0.4878823	5.99E-08
 SPSB2 	0.3692911	2.15E-05
 SPSB3 	0.0081589	9.30E-01
 SPSB4 	-0.0377843	1.13E-02
 SPTA1 	-0.0050387	4.01E-01
 SPTAN1 	0.9806517	1.65E-13
 SPTB 	-0.018642	2.27E-02
 SPTBN1 	0.8331829	3.40E-11
 SPTBN2 	0.0616298	4.77E-02
 SPTBN4 	-0.0567273	3.49E-04
 SPTBN5 	-0.0493846	1.42E-02
 SPTLC1 	0.476336	7.06E-06
 SPTLC2 	0.231975	2.82E-02
 SPTLC3 	0.1472258	3.36E-01
 SPTY2D1 	0.2798816	1.91E-05
 SPZ1 	-0.0053448	4.19E-01
 SQLE 	1.2625082	1.93E-05
 SQRDL 	0.3862126	3.57E-02
 SQSTM1 	0.8616814	1.28E-08
 SRA1 	-0.0133087	8.80E-01
 SRBD1 	0.0381678	3.91E-01
 SRC 	0.3679578	3.42E-05
 SRCAP 	0.1168214	7.98E-02
 SRCIN1 	-0.023505	3.16E-01
 SRCRB4D 	-0.0661078	1.57E-03
 SRD5A1 	0.0393711	5.65E-01
 SRD5A2 	-0.0297009	1.97E-02
 SRD5A3 	0.4932191	2.52E-03
 SREBF1 	0.431302	1.35E-04
 SREBF2 	0.1121639	2.98E-01
 SREK1 	0.0784472	1.90E-01
 SREK1IP1 	0.0548705	3.62E-02
 SRF 	0.5371029	2.78E-05
 SRFBP1 	0.3803754	2.40E-07
 SRGAP1 	0.3686933	6.13E-07
 SRGAP3 	-0.0152823	2.05E-01
 SRGN 	0.1771411	4.95E-01
 SRI 	1.4069697	1.90E-09
 SRL 	-0.0083943	4.89E-01
 SRM 	0.7174332	8.43E-07
 SRMS 	-0.0270471	5.79E-01
 SRP14 	0.2246864	6.51E-03
 SRP19 	-0.019757	7.94E-01
 SRP54 	0.1733569	9.24E-02
 SRP68 	0.235693	2.57E-02
 SRP72 	0.3286523	5.62E-03
 SRPK1 	0.843395	5.16E-11
 SRPK2 	0.1434781	1.97E-02
 SRPK3 	-0.1042454	1.31E-04
 SRPR 	-0.289435	2.22E-02
 SRPRB 	0.3035947	1.68E-02
 SRPX 	0.000889	9.94E-01
 SRPX2 	0.5450353	1.82E-06
 SRR 	0.0258059	6.64E-01
 SRRD 	0.13294	1.66E-04
 SRRM1 	0.0278144	7.13E-01
 SRRM2 	-0.0121452	9.05E-01
 SRRM3 	-0.0828522	3.48E-04
 SRRM4 	-0.06367	1.37E-04
 SRRT 	0.5541662	8.31E-10
 SRSF1 	0.4927074	3.60E-06
 SRSF10 	0.1110384	9.76E-02
 SRSF11 	0.2707435	4.61E-04
 SRSF12 	-0.0142635	2.63E-01
 SRSF2 	0.5827188	3.86E-08
 SRSF2IP 	0.3417846	3.54E-06
 SRSF3 	0.8035252	3.80E-07
 SRSF4 	0.2241588	5.00E-03
 SRSF5 	0.1245752	2.62E-01
 SRSF6 	0.3507966	2.57E-04
 SRSF7 	0.601051	2.98E-05
 SRSF9 	0.5953034	1.77E-05
 SRXN1 	0.5744039	1.34E-06
 SRY 	-0.0142128	5.09E-02
 SS18 	0.201988	2.15E-02
 SS18L1 	0.0591477	2.96E-02
 SS18L2 	0.2953337	1.33E-04
 SSB 	1.3620319	7.68E-13
 SSBP1 	0.9302572	2.47E-07
 SSBP2 	-0.0909158	1.92E-01
 SSBP3 	-0.1972768	1.83E-01
 SSBP4 	-0.1138471	1.93E-01
 SSFA2 	0.2149184	1.15E-01
 SSH1 	0.04467	5.24E-03
 SSH2 	0.2026079	4.54E-03
 SSH3 	0.297238	7.26E-06
 SSNA1 	0.5142999	1.48E-04
 SSPN 	0.1865973	4.56E-02
 SSR1 	0.3076139	5.06E-02
 SSR2 	0.3351784	5.77E-03
 SSR3 	0.2919483	1.79E-02
 SSR4 	-0.2816978	1.10E-01
 SSRP1 	0.7113302	2.21E-09
 SSSCA1 	0.5107876	5.30E-06
 SST 	-3.0949862	4.89E-14
 SSTR1 	-0.5084395	5.39E-08
 SSTR2 	-0.1008592	9.68E-04
 SSTR3 	-0.1116802	5.91E-03
 SSTR4 	-0.0392668	1.71E-01
 SSTR5 	0.0829382	6.29E-02
 SSU72 	0.6566481	1.59E-08
 SSX1 	-0.0058568	5.71E-01
 SSX2IP 	0.158968	1.22E-03
 SSX3 	0.0120169	4.94E-01
 SSX5 	-0.025461	3.93E-01
 SSX6 	-0.0545597	1.22E-01
 SSX7 	0.0231799	4.96E-01
 SSX8 	-0.4452423	2.20E-06
 ST13 	0.0509391	6.05E-01
 ST13P4 	0.0156489	6.07E-01
 ST14 	0.8912039	2.95E-06
 ST18 	-0.0402999	7.63E-07
 ST3GAL1 	-0.2363646	3.96E-02
 ST3GAL2 	0.2388608	1.69E-05
 ST3GAL3 	-0.004373	8.84E-01
 ST3GAL4 	0.1595397	1.45E-02
 ST3GAL5 	0.0069422	8.64E-01
 ST3GAL6 	-0.148687	1.89E-03
 ST5 	-0.2351901	2.16E-03
 ST6GAL1 	0.3567837	5.16E-02
 ST6GAL2 	-0.0329888	9.06E-03
 ST6GALNAC1 	-0.9722731	3.18E-07
 ST6GALNAC2 	0.0866578	5.09E-01
 ST6GALNAC3 	0.0525137	3.50E-01
 ST6GALNAC4 	0.2005476	3.25E-03
 ST6GALNAC5 	0.0235847	5.96E-01
 ST6GALNAC6 	0.0248415	8.50E-01
 ST7 	0.0512668	6.21E-01
 ST7L 	0.1175056	1.85E-04
 ST8SIA1 	-0.0160602	6.17E-01
 ST8SIA2 	0.0117757	3.59E-01
 ST8SIA3 	-0.0200172	7.19E-03
 ST8SIA4 	0.102016	1.14E-01
 ST8SIA5 	-0.0223461	6.58E-02
 STAB1 	0.0648813	6.03E-01
 STAB2 	-0.0135978	1.15E-01
 STAC 	-0.0025021	7.82E-01
 STAC2 	-0.0226718	1.28E-01
 STAC3 	0.0225315	4.99E-02
 STAG1 	0.3019012	1.11E-06
 STAG2 	0.404296	4.00E-07
 STAG3 	0.0007878	9.70E-01
 STAG3L4 	0.1089812	9.98E-04
 STAM 	0.0493758	6.34E-01
 STAM2 	0.0984671	1.26E-01
 STAMBP 	0.3059429	9.23E-05
 STAMBPL1 	0.3891279	9.02E-05
 STAP1 	0.042455	3.46E-01
 STAP2 	0.2979384	6.36E-02
 STAR 	-0.0511082	1.34E-03
 STARD10 	-0.3451184	5.56E-03
 STARD13 	0.0270064	5.93E-01
 STARD3 	0.283883	1.98E-03
 STARD3NL 	0.436197	5.75E-05
 STARD4 	0.0008376	9.96E-01
 STARD5 	0.2289956	7.07E-02
 STARD6 	-0.0065251	3.25E-01
 STARD7 	0.4253098	3.56E-06
 STARD8 	-0.0101253	6.28E-01
 STAT1 	0.8421818	3.85E-06
 STAT2 	0.3353343	6.56E-03
 STAT3 	0.7593688	1.73E-06
 STAT4 	0.0122423	7.63E-01
 STAT5A 	0.4476922	5.67E-06
 STAT5B 	0.162016	1.72E-02
 STAT6 	0.4504143	1.04E-05
 STATH 	-0.0096289	1.35E-01
 STAU1 	0.4619989	1.74E-06
 STAU2 	0.2020641	1.62E-04
 STC1 	0.0998796	2.16E-01
 STC2 	0.088127	1.15E-02
 STEAP1 	1.0240411	4.50E-04
 STEAP2 	0.3069242	2.87E-02
 STEAP3 	-0.2571756	2.27E-03
 STEAP4 	0.1398492	1.39E-01
 STGC3 	0.0059602	6.85E-01
 STH 	0.0079544	8.21E-01
 STIL 	0.5492658	8.90E-08
 STIM1 	-0.1167727	1.05E-01
 STIM2 	0.0497399	3.66E-01
 STIP1 	1.2884276	3.62E-11
 STK10 	0.1261287	3.90E-02
 STK11 	0.0118751	8.51E-01
 STK11IP 	0.1082294	1.67E-03
 STK16 	0.0671547	4.57E-01
 STK17A 	-0.0663082	5.58E-01
 STK17B 	0.0961078	4.37E-01
 STK19 	0.1113954	1.03E-02
 STK24 	0.3307526	1.46E-03
 STK25 	0.19977	1.61E-02
 STK3 	0.7060056	1.05E-09
 STK31 	0.2293877	8.79E-03
 STK32A 	-0.0264008	4.50E-01
 STK32B 	-0.2066434	3.28E-05
 STK32C 	-0.0213823	5.67E-01
 STK33 	-0.0425684	3.74E-01
 STK35 	0.6166804	1.98E-07
 STK36 	0.1829577	5.91E-03
 STK38 	0.574874	7.08E-06
 STK38L 	0.5784075	1.66E-07
 STK39 	0.3241091	3.41E-03
 STK4 	0.6428774	1.66E-07
 STK40 	0.1771921	3.13E-04
 STMN1 	1.3291547	1.07E-08
 STMN2 	0.0435627	5.17E-01
 STMN3 	0.4179525	2.53E-04
 STMN4 	-0.0392832	8.62E-04
 STOM 	0.8225524	1.00E-07
 STOML1 	0.0852465	1.10E-01
 STOML2 	0.5938413	1.55E-04
 STOML3 	0.024291	2.56E-01
 STON1-GTF2A1L 	0.0359934	3.59E-02
 STON2 	0.0317246	4.64E-02
 STOX1 	0.0868236	9.97E-02
 STRA13 	0.378994	4.62E-03
 STRA6 	0.1545969	1.51E-01
 STRA8 	-0.0065666	4.03E-01
 STRADA 	0.0122291	6.89E-01
 STRADB 	-0.1869221	8.19E-04
 STRAP 	0.4014491	1.59E-05
 STRBP 	0.2376868	3.60E-03
 STRC 	-0.0032569	8.54E-01
 STRN 	0.3174627	4.43E-07
 STRN3 	0.1713219	3.22E-03
 STRN4 	0.2162657	2.12E-04
 STS 	-0.1845504	1.09E-01
 STT3A 	0.3715384	1.52E-02
 STT3B 	0.2508064	3.58E-02
 STUB1 	0.2650199	1.04E-02
 STX10 	0.4186458	2.15E-05
 STX11 	0.0727916	1.84E-01
 STX12 	-0.679113	1.82E-05
 STX16 	0.2714454	2.38E-04
 STX17 	0.1389028	9.38E-03
 STX18 	0.0028676	9.53E-01
 STX19 	-0.177043	1.53E-01
 STX1A 	0.1209638	1.25E-04
 STX1B 	-0.0416337	1.45E-02
 STX2 	0.126362	8.67E-04
 STX3 	-0.073837	3.73E-02
 STX4 	0.5748129	4.83E-08
 STX5 	0.0038882	9.64E-01
 STX6 	0.5937806	1.03E-10
 STX7 	0.5146801	1.67E-06
 STX8 	0.0226317	8.03E-01
 STXBP1 	0.1607696	1.37E-01
 STXBP2 	0.1317035	2.35E-01
 STXBP3 	0.5701323	5.42E-08
 STXBP4 	0.0815031	1.89E-02
 STXBP5 	0.2961636	5.50E-04
 STXBP6 	0.2511461	1.30E-02
 STYK1 	-0.0470652	4.39E-01
 STYX 	0.0769657	2.14E-01
 STYXL1 	0.4341023	3.80E-03
 SUB1 	0.5330232	5.71E-05
 SUCLA2 	0.4489845	1.06E-02
 SUCLG1 	0.271898	7.64E-02
 SUCLG2 	-0.4616553	1.18E-02
 SUCNR1 	0.0034606	6.88E-01
 SUDS3 	0.3398918	2.80E-05
 SUFU 	0.0252152	1.34E-01
 SUGP1 	0.0631202	1.18E-02
 SUGP2 	0.2226576	1.43E-03
 SUGT1 	0.8200911	5.28E-08
 SUGT1P1 	-0.0133828	3.35E-01
 SUGT1P3 	0.0682904	7.00E-03
 SULF1 	1.5737063	2.29E-08
 SULF2 	1.1156895	1.38E-11
 SULT1A1 	-0.0386883	3.90E-01
 SULT1A2 	0.0168646	9.50E-01
 SULT1B1 	-0.9350597	1.50E-04
 SULT1C2 	-0.9858542	7.98E-03
 SULT1C4 	0.0842593	3.12E-01
 SULT1E1 	0.0997479	5.01E-01
 SULT2A1 	-0.461309	1.01E-02
 SULT2B1 	0.2390402	1.96E-02
 SULT4A1 	0.0609536	1.00E-01
 SUMF1 	0.0215552	6.82E-01
 SUMF2 	0.3236631	1.32E-03
 SUMO1 	0.0057204	9.11E-01
 SUMO1P1 	0.0341698	1.71E-01
 SUMO1P3 	0.003435	9.19E-01
 SUMO2 	0.0448734	9.79E-02
 SUMO3 	0.4457687	9.11E-05
 SUMO4 	-0.0208559	3.01E-01
 SUN1 	0.313006	6.84E-06
 SUN2 	0.0739076	3.37E-01
 SUN3 	-0.012673	7.13E-01
 SUN5 	-0.0127888	4.44E-02
 SUOX 	0.0059887	8.79E-01
 SUPT16H 	0.830615	8.30E-08
 SUPT3H 	0.1586906	2.15E-03
 SUPT4H1 	0.3434762	2.28E-03
 SUPT5H 	0.1471971	1.42E-02
 SUPT6H 	0.3457348	1.85E-04
 SUPT7L 	0.2691989	2.32E-04
 SUPV3L1 	0.4202059	7.67E-05
 SURF6 	0.2845374	5.14E-05
 SUSD1 	0.0677468	3.35E-01
 SUSD2 	-0.1144937	7.16E-02
 SUSD3 	0.0217487	5.83E-01
 SUV39H1 	0.3453537	7.03E-06
 SUV39H2 	0.1674629	9.11E-05
 SUV420H1 	0.2372466	8.48E-04
 SUV420H2 	0.0286599	5.58E-01
 SUZ12 	0.5801991	7.20E-07
 SUZ12P 	0.0791311	3.78E-01
 SV2A 	0.0017167	9.17E-01
 SV2B 	-0.0042876	6.39E-01
 SVIL 	0.3816036	1.65E-06
 SVOPL 	0.050883	4.41E-01
 SWAP70 	0.2713105	3.85E-04
 SYAP1 	0.5242475	1.75E-05
 SYBU 	-0.175806	1.30E-01
 SYCE1 	-0.0111622	1.86E-01
 SYCP1 	-0.0072628	2.22E-01
 SYCP2 	-0.0037919	8.65E-01
 SYCP2L 	-0.003177	6.55E-01
 SYCP3 	-0.0108117	6.96E-02
 SYDE1 	0.0959178	1.34E-03
 SYF2 	0.4052934	8.15E-04
 SYK 	0.3856925	5.93E-03
 SYMPK 	0.2297701	1.25E-03
 SYN1 	-0.038056	6.61E-04
 SYN2 	-0.0735324	7.83E-04
 SYN3 	0.0050707	8.84E-01
 SYNC 	0.0408038	8.76E-02
 SYNCRIP 	0.5017127	1.64E-09
 SYNE1 	-0.2599179	7.75E-05
 SYNE2 	0.0833384	4.73E-01
 SYNGAP1 	0.1703494	7.39E-04
 SYNGR1 	-0.215495	2.14E-05
 SYNGR2 	0.5691373	2.02E-05
 SYNGR3 	-0.055455	1.84E-01
 SYNGR4 	0.0175961	6.73E-01
 SYNJ1 	0.0972829	3.07E-03
 SYNJ2 	0.2609442	1.77E-04
 SYNJ2BP 	-0.163951	8.71E-02
 SYNM 	0.0775939	2.46E-01
